Policy_ID;Loss_Ratio;Actual_Risk_Status;Current_Premium_USD;Customer_LTV_USD;Churn_Prob;Projected_Loss_USD
POL-10000;0,353676657;0;790;6620;0,292216452;210
POL-10001;0,248558066;0;1140;6110;0,101950084;530
POL-10002;0,415959087;1;760;8490;0,240033418;1540
POL-10003;0,159967576;0;970;4580;0,184964757;530
POL-10004;0,550283078;1;1280;8510;0,282048064;4280
POL-10005;0,110945288;0;1410;6310;0,297841996;600
POL-10006;0,509896642;1;1340;8230;0,111260112;4840
POL-10007;0,177270379;0;1040;5250;0,253153744;60
POL-10008;0,198290472;0;1110;8060;0,106972252;140
POL-10009;0,376236788;0;1080;4890;0,087199478;110
POL-10010;0,543466804;1;1390;9790;0,32908883;5310
POL-10011;0,084763763;0;1280;6340;0,099316721;660
POL-10012;0,357928793;0;1140;5640;0,11843958;770
POL-10013;0,273320774;0;1090;4150;0,089097202;60
POL-10014;0,134376141;0;1120;6840;0,191087567;140
POL-10015;0,35325485;0;1250;6200;0,325882197;760
POL-10016;0,132790121;0;1590;3830;0,129216722;790
POL-10017;0,326434368;0;1300;5030;0,212555639;410
POL-10018;0,165810401;0;1170;2590;0,173437621;810
POL-10019;0,207734215;0;1150;4240;0,150802823;490
POL-10020;0,263408488;0;1680;6250;0,221645807;820
POL-10021;0,39001433;0;1460;7210;0,21766787;690
POL-10022;0,15364547;0;1490;5850;0,15780998;290
POL-10023;0,305502351;0;1440;7440;0,305168989;530
POL-10024;0,203313881;0;1240;4580;0,065951632;240
POL-10025;0,183876876;0;1550;7390;0,075571519;590
POL-10026;0,367824087;0;880;6350;0,347234378;60
POL-10027;0,202096766;0;1640;6090;0,274304874;490
POL-10028;0,186339505;0;1440;6490;0,291178671;420
POL-10029;0,2835203;1;1370;5300;0,230810323;4340
POL-10030;0,100399303;0;1060;3430;0,175958128;110
POL-10031;0,207729389;0;1480;4410;0,238768064;820
POL-10032;0,309637707;0;1540;3680;0,077775412;500
POL-10033;0,0443858;0;1070;6040;0,27733075;620
POL-10034;0,124579213;0;1080;7870;0,212222914;640
POL-10035;0,21100332;0;990;9470;0,337019567;190
POL-10036;0,358188755;0;1390;5580;0,241242577;450
POL-10037;0,652242266;1;1230;6180;0,095507761;5690
POL-10038;0,162266026;0;1780;10270;0,193265034;670
POL-10039;0,069424295;0;870;5690;0,067346675;530
POL-10040;0,076848081;0;1030;5250;0,273628868;430
POL-10041;0,174433517;0;1250;6240;0,200549456;570
